Trial,Type,Plate,Migrated_Cells
1,Control,1,121
1,Control,1,107
1,Control,1,116
1,Control,2,92
1,Control,2,133
1,Control,2,122
1,Scramble,1,112
1,Scramble,1,107
1,Scramble,1,95
1,Scramble,2,111
1,Scramble,2,88
1,Scramble,2,90
1,CXCR4KD,1,58
1,CXCR4KD,1,33
1,CXCR4KD,1,34
1,CXCR4KD,2,64
1,CXCR4KD,2,62
1,CXCR4KD,2,51
1,CXCR7KD,1,50
1,CXCR7KD,1,38
1,CXCR7KD,1,36
1,CXCR7KD,2,42
1,CXCR7KD,2,45
1,CXCR7KD,2,39
2,Control,1,109
2,Control,1,102
2,Control,1,99
2,Control,2,110
2,Control,2,92
2,Control,2,97
2,Control,3,144
2,Control,3,101
2,Control,3,119
2,Scramble,1,141
2,Scramble,1,101
2,Scramble,1,109
2,Scramble,2,103
2,Scramble,2,82
2,Scramble,2,101
2,Scramble,3,126
2,Scramble,3,103
2,Scramble,3,99
2,CXCR4KD,1,53
2,CXCR4KD,1,61
2,CXCR4KD,1,65
2,CXCR4KD,2,22
2,CXCR4KD,2,57
2,CXCR4KD,2,60
2,CXCR4KD,3,77
2,CXCR4KD,3,69
2,CXCR4KD,3,59
2,CXCR7KD,1,72
2,CXCR7KD,1,34
2,CXCR7KD,1,45
2,CXCR7KD,2,31
2,CXCR7KD,2,47
2,CXCR7KD,2,48
2,CXCR7KD,3,21
2,CXCR7KD,3,33
2,CXCR7KD,3,36
3,Control,1,135
3,Control,1,127
3,Control,1,122
3,Control,2,124
3,Control,2,97
3,Control,2,106
3,Scramble,1,96
3,Scramble,1,102
3,Scramble,1,115
3,Scramble,2,145
3,Scramble,2,101
3,Scramble,2,120
3,CXCR4KD,1,72
3,CXCR4KD,1,64
3,CXCR4KD,1,77
3,CXCR4KD,2,81
3,CXCR4KD,2,60
3,CXCR4KD,2,68
3,CXCR7KD,1,60
3,CXCR7KD,1,64
3,CXCR7KD,1,49
3,CXCR7KD,2,37
3,CXCR7KD,2,48
3,CXCR7KD,2,51
4,Control,1,101
4,Control,1,92
4,Control,1,96
4,Control,2,142
4,Control,2,92
4,Control,2,112
4,Control,3,134
4,Control,3,104
4,Control,3,98
4,Scramble,1,97
4,Scramble,1,104
4,Scramble,1,111
4,Scramble,2,91
4,Scramble,2,108
4,Scramble,2,90
4,Scramble,3,101
4,Scramble,3,107
4,Scramble,3,95
4,CXCR4KD,1,68
4,CXCR4KD,1,47
4,CXCR4KD,1,65
4,CXCR4KD,2,43
4,CXCR4KD,2,37
4,CXCR4KD,2,36
4,CXCR4KD,3,59
4,CXCR4KD,3,77
4,CXCR4KD,3,70
4,CXCR7KD,1,32
4,CXCR7KD,1,41
4,CXCR7KD,1,40
4,CXCR7KD,2,55
4,CXCR7KD,2,43
4,CXCR7KD,2,40
4,CXCR7KD,3,62
4,CXCR7KD,3,59
4,CXCR7KD,3,47
5,Control,1,125
5,Control,1,130
5,Control,1,109
5,Control,2,133
5,Control,2,107
5,Control,2,115
5,Scramble,1,115
5,Scramble,1,117
5,Scramble,1,108
5,Scramble,2,104
5,Scramble,2,115
5,Scramble,2,121
5,CXCR4KD,1,57
5,CXCR4KD,1,53
5,CXCR4KD,1,66
5,CXCR4KD,2,71
5,CXCR4KD,2,64
5,CXCR4KD,2,72
5,CXCR7KD,1,63
5,CXCR7KD,1,47
5,CXCR7KD,1,51
5,CXCR7KD,2,38
5,CXCR7KD,2,44
5,CXCR7KD,2,48
